        --                   T1                   T2                   T3                   T4                   T5                    E                  STD 
rmse-train            29.837949            30.238257            29.654238            29.985259            31.795219            30.302184             0.770588 
 rmse-test            32.826338            30.560769            33.020420            31.476337            23.171577            30.211088             3.633448 
  r2s-test             0.315083             0.231503             0.254828             0.222740             0.298172             0.264465             0.036383 
 r2s-train             0.245268             0.280570             0.272558             0.284152             0.269155             0.270341             0.013641 
 Feature 0             0.095018             0.104905             0.106416             0.101472             0.109721             0.103506             0.005005 
 Feature 1             0.217302             0.237881             0.235825             0.227753             0.241844             0.232121             0.008719 
 Feature 2             0.148908             0.177551             0.178190             0.157226             0.203777             0.173130             0.019100 
 Feature 3             0.233296             0.244563             0.240840             0.233355             0.244713             0.239353             0.005114 
 Feature 4             0.215882             0.231248             0.221495             0.217201             0.232598             0.223685             0.006991 
 Feature 5             0.235628             0.265912             0.258340             0.249804             0.266952             0.255327             0.011617 
 Feature 6             0.238744             0.246177             0.257959             0.227418             0.252022             0.244464             0.010634 
 Feature 7             0.313139             0.326717             0.317558             0.307678             0.327000             0.318418             0.007569 
 Feature 8             0.320385             0.341362             0.320717             0.304339             0.336379             0.324636             0.013138 
 Feature 9             0.351788             0.309183             0.326043             0.323936             0.309392             0.324068             0.015552 
Feature 10             0.226636             0.255454             0.250480             0.245504             0.256598             0.246934             0.010887 
Feature 11             0.188557             0.200481             0.197446             0.203034             0.209407             0.199785             0.006858 
Feature 12             0.283187             0.306400             0.305282             0.293324             0.304555             0.298550             0.009015 
Feature 13             0.274957             0.305480             0.299862             0.291469             0.301362             0.294626             0.010839 
Feature 14             0.370703             0.337977             0.352683             0.343150             0.346475             0.350197             0.011309 
Feature 15             0.213451             0.229263             0.225155             0.218144             0.229201             0.223043             0.006278 
Feature 16             0.174339             0.196863             0.185372             0.203598             0.192553             0.190545             0.010037 
Feature 17             0.368383             0.364624             0.342192             0.325468             0.382431             0.356620             0.020235 
Feature 18             0.378257             0.356678             0.333367             0.297518             0.372310             0.347626             0.029474 
Feature 19             0.276248             0.294518             0.292466             0.279083             0.307174             0.289898             0.011222 
Feature 20             0.239737             0.271765             0.263159             0.255763             0.272766             0.260638             0.012148 
Feature 21             0.147077             0.205457             0.173268             0.160577             0.195623             0.176400             0.021605 
Feature 22             0.316341             0.333785             0.323013             0.314528             0.332043             0.323942             0.007871 
Feature 23             0.326270             0.352506             0.326631             0.316117             0.343430             0.332991             0.013116 
Feature 24             0.308223             0.276704             0.286469             0.290828             0.274348             0.287314             0.012091 
Feature 25             0.214896             0.240920             0.235179             0.207473             0.235753             0.226844             0.013153 
Feature 26             0.167318             0.180328             0.187089             0.192037             0.191035             0.183561             0.009104 
Feature 27             0.233817             0.259030             0.262384             0.253168             0.254829             0.252646             0.009951 
Feature 28             0.202868             0.234772             0.233207             0.234111             0.226354             0.226262             0.012079 
Feature 29             0.317242             0.309370             0.326314             0.299264             0.319862             0.314410             0.009319 
Feature 30             0.564896             0.551706             0.553973             0.557019             0.537925             0.553104             0.008803 
Feature 31             1.000000             1.000000             1.000000             1.000000             1.000000             1.000000             0.000000 
Feature 32             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000             0.000000 
Feature 33             0.604950             0.597145             0.594889             0.602787             0.583946             0.596743             0.007366 
Feature 34             0.742830             0.752526             0.752241             0.747146             0.755890             0.750127             0.004595 
Feature 35             0.042511             0.063955             0.054536             0.058858             0.071710             0.058314             0.009753 
Feature 36             0.226827             0.229293             0.225785             0.223405             0.234197             0.227901             0.003672 
Feature 37             0.262808             0.273248             0.265789             0.265240             0.272949             0.268007             0.004278 
Feature 38             0.218228             0.230624             0.228726             0.221999             0.233745             0.226664             0.005710 
Feature 39             0.262738             0.264299             0.265288             0.254976             0.268086             0.263077             0.004410 
Feature 40             0.197523             0.209399             0.205759             0.202642             0.214058             0.205876             0.005650 
Feature 41             0.196819             0.211536             0.207065             0.197784             0.212671             0.205175             0.006703 
Feature 42             0.201251             0.210671             0.206360             0.202644             0.212573             0.206700             0.004394 
Feature 43             0.208736             0.213236             0.218735             0.212532             0.220524             0.214753             0.004304 
Feature 44             0.204204             0.216288             0.216484             0.208800             0.219145             0.212984             0.005581 
Feature 45             0.202517             0.217866             0.216659             0.207733             0.222928             0.213541             0.007373 
Feature 46             0.193333             0.209651             0.207711             0.201332             0.210291             0.204464             0.006405 
Feature 47             0.199662             0.209121             0.206998             0.204450             0.212788             0.206604             0.004417 
Feature 48             0.209525             0.219791             0.218135             0.209143             0.221801             0.215679             0.005310 
Feature 49             0.199920             0.209904             0.211151             0.203669             0.216003             0.208129             0.005684 
Feature 50             0.205172             0.214034             0.219055             0.212776             0.221750             0.214557             0.005718 
Feature 51             0.196495             0.214568             0.208937             0.202639             0.213763             0.207281             0.006866 
Feature 52             0.197455             0.212038             0.208356             0.201794             0.217376             0.207404             0.007103 
Feature 53             0.196154             0.209192             0.206141             0.198995             0.208710             0.203839             0.005295 
